dataInicio,dataFim,entidade,info
01/01/2018,01/01/2018,b'Feriado/Expediente Suspenso',b'Confraterniza\xc3\xa7\xc3\xa3o Universal.'
01/01/2018,01/01/2018,feriado/expediente suspenso,Confraternização Universal.
02/01/2018,03/01/2018,b'F\xc3\xa9rias de Ver\xc3\xa3o',b'Coordenadorias de Cursos adequam matr\xc3\xadculas do per\xc3\xadodo de \xc2\xa0F\xc3\xa9rias de Ver\xc3\xa3o - 2018.'
02/01/2018,03/01/2018,ferias de verao,Coordenadorias de Cursos adequam matrículas do período de  Férias de Verão - 2018.
02/01/2018,31/01/2018,b'Sistema de Recupera\xc3\xa7\xc3\xa3o',b'Per\xc3\xadodo das atividades do Sistema de Recupera\xc3\xa7\xc3\xa3o das disciplinas oferecidas no 2\xc2\xba per\xc3\xadodo letivo de 2017.'
02/01/2018,31/01/2018,sistema de recuperacao,Período das atividades do Sistema de Recuperação das disciplinas oferecidas no 2º período letivo de 2017.
02/01/2018,02/02/2018,b'Sistema de Recupera\xc3\xa7\xc3\xa3o',"b'Prazo para entrada das notas do Sistema de Recupera\xc3\xa7\xc3\xa3o das disciplinas oferecidas no 2\xc2\xba per\xc3\xadodo letivo de 2017, na WEB.'"
02/01/2018,02/02/2018,sistema de recuperacao,"Prazo para entrada das notas do Sistema de Recuperação das disciplinas oferecidas no 2º período letivo de 2017, na WEB."
04/01/2018,04/01/2018,b'F\xc3\xa9rias de Ver\xc3\xa3o',b'DAC divulga na WEB relat\xc3\xb3rios de matr\xc3\xadculas do per\xc3\xadodo de F\xc3\xa9rias de Ver\xc3\xa3o - 2018.'
04/01/2018,04/01/2018,ferias de verao,DAC divulga na WEB relatórios de matrículas do período de Férias de Verão - 2018.
04/01/2018,04/01/2018,Férias de Verão,Início das aulas do período de Férias de Verão - 2018
04/01/2018,21/02/2018,b'F\xc3\xa9rias de Ver\xc3\xa3o',"b'Prazo para entrada de M\xc3\xa9dias e Frequ\xc3\xaancias do per\xc3\xadodo de F\xc3\xa9rias de Ver\xc3\xa3o - 2018, na WEB.'"
04/01/2018,21/02/2018,ferias de verao,"Prazo para entrada de Médias e Frequências do período de Férias de Verão - 2018, na WEB."
09/01/2018,09/01/2018,b'Processo Seletivo Aberto',b'\xc3\x9altimo dia para as Coordenadorias de Cursos entregarem na DAC os resultados das Provas Espec\xc3\xadficas de Conhecimentos do Processo Seletivo Aberto para preenchimento de vagas remanescentes.'
09/01/2018,09/01/2018,processo seletivo aberto,Último dia para as Coordenadorias de Cursos entregarem na DAC os resultados das Provas Específicas de Conhecimentos do Processo Seletivo Aberto para preenchimento de vagas remanescentes.
12/01/2018,12/01/2018,b'Cola\xc3\xa7\xc3\xa3o de Grau',b'In\xc3\xadcio das Cola\xc3\xa7\xc3\xb5es de Grau \xc2\xa0do 2\xc2\xba per\xc3\xadodo letivo de 2017.'
12/01/2018,12/01/2018,colacao de grau,Início das Colações de Grau  do 2º período letivo de 2017.
12/01/2018,12/01/2018,Carta de Aceitação,"Último dia para as Coordenadorias de Cursos solicitarem à DAC, por e-mail, emissão da Carta de Aceitação para estudante especial estrangeiro para o 1º período letivo de 2018."
14/01/2018,16/01/2018,b'Vestibular Unicamp',b'Provas da 2\xc2\xaa fase do Vestibular Unicamp 2018.'
14/01/2018,16/01/2018,vestibular unicamp,Provas da 2ª fase do Vestibular Unicamp 2018.
19/01/2018,19/01/2018,b'Processo Seletivo Aberto',"b'Divulga\xc3\xa7\xc3\xa3o da lista de candidatos convocados para matr\xc3\xadcula do Processo Seletivo Aberto para preenchimento de vagas remanescentes, cursos sem Prova de Habilidades Espec\xc3\xadficas.'"
19/01/2018,19/01/2018,processo seletivo aberto,"Divulgação da lista de candidatos convocados para matrícula do Processo Seletivo Aberto para preenchimento de vagas remanescentes, cursos sem Prova de Habilidades Específicas."
19/01/2018,19/01/2018,Catálogo dos Cursos de Graduação,Coordenadorias de Cursos recebem os processos físicos para elaboração do Catálogo dos Cursos de Graduação para o ano de 2019.
22/01/2018,25/01/2018,b'Vestibular Unicamp',"b'Provas de Habilidades Espec\xc3\xadficas do Vestibular Unicamp 2018, exceto curso de M\xc3\xbasica.'"
22/01/2018,25/01/2018,vestibular unicamp,"Provas de Habilidades Específicas do Vestibular Unicamp 2018, exceto curso de Música."
22/01/2018,04/05/2018,b'Cat\xc3\xa1logo dos Cursos de Gradua\xc3\xa7\xc3\xa3o',"b'Coordenadorias de Cursos prop\xc3\xb5em altera\xc3\xa7\xc3\xb5es nos processos de elabora\xc3\xa7\xc3\xa3o do Cat\xc3\xa1logo dos Cursos de Gradua\xc3\xa7\xc3\xa3o para o ano de 2019, no SIGA.'"
22/01/2018,04/05/2018,catalogo dos cursos de graduacao,"Coordenadorias de Cursos propõem alterações nos processos de elaboração do Catálogo dos Cursos de Graduação para o ano de 2019, no SIGA."
24/01/2018,25/01/2018,b'Processo Seletivo Aberto',"b'Matr\xc3\xadcula e solicita\xc3\xa7\xc3\xa3o de Aproveitamento de Estudos para os candidatos aprovados no Processo Seletivo Aberto para preenchimento de vagas remanescentes, cursos sem Prova de Habilidades Espec\xc3\xadficas, na DAC.'"
24/01/2018,25/01/2018,processo seletivo aberto,"Matrícula e solicitação de Aproveitamento de Estudos para os candidatos aprovados no Processo Seletivo Aberto para preenchimento de vagas remanescentes, cursos sem Prova de Habilidades Específicas, na DAC."
29/01/2018,01/02/2018,b'Adequa\xc3\xa7\xc3\xa3o de Matr\xc3\xadcula',b'Coordenadorias de Cursos encaminham \xc3\xa0 DAC a rela\xc3\xa7\xc3\xa3o dos docentes que ministrar\xc3\xa3o as disciplinas abertas no per\xc3\xadodo de Adequa\xc3\xa7\xc3\xa3o de Matr\xc3\xadculas do 1\xc2\xba per\xc3\xadodo letivo de 2018.'
29/01/2018,01/02/2018,adequacao de matricula,Coordenadorias de Cursos encaminham à DAC a relação dos docentes que ministrarão as disciplinas abertas no período de Adequação de Matrículas do 1º período letivo de 2018.
29/01/2018,02/02/2018,b'Adequa\xc3\xa7\xc3\xa3o de Matr\xc3\xadcula',b'Coordenadorias de Cursos adequam matr\xc3\xadculas do 1\xc2\xba per\xc3\xadodo letivo de 2018.'
29/01/2018,02/02/2018,adequacao de matricula,Coordenadorias de Cursos adequam matrículas do 1º período letivo de 2018.
01/02/2018,01/02/2018,b'Adequa\xc3\xa7\xc3\xa3o de Matr\xc3\xadcula',b'\xc3\x9altimo dia para as Coordenadorias de Cursos encaminharem \xc3\xa0 DAC a rela\xc3\xa7\xc3\xa3o dos docentes que ministrar\xc3\xa3o as disciplinas abertas no per\xc3\xadodo de Adequa\xc3\xa7\xc3\xa3o de Matr\xc3\xadculas do 1\xc2\xba per\xc3\xadodo letivo de 2018.'
01/02/2018,01/02/2018,adequacao de matricula,Último dia para as Coordenadorias de Cursos encaminharem à DAC a relação dos docentes que ministrarão as disciplinas abertas no período de Adequação de Matrículas do 1º período letivo de 2018.
02/02/2018,02/02/2018,b'Sistema de Recupera\xc3\xa7\xc3\xa3o',"b'\xc3\x9altimo dia para entrada das notas do Sistema de Recupera\xc3\xa7\xc3\xa3o das disciplinas oferecidas no 2\xc2\xba per\xc3\xadodo letivo de 2017, na WEB.'"
02/02/2018,02/02/2018,sistema de recuperacao,"Último dia para entrada das notas do Sistema de Recuperação das disciplinas oferecidas no 2º período letivo de 2017, na WEB."
02/02/2018,02/02/2018,Adequação de Matrícula,Último dia para as Coordenadorias de Cursos adequarem matrículas do 1º período letivo de 2018.
05/02/2018,05/02/2018,b'Per\xc3\xadodo Letivo',b'In\xc3\xadcio das aulas das disciplinas de cl\xc3\xadnica da Faculdade de Odontologia de Piracicaba.'
05/02/2018,05/02/2018,periodo letivo,Início das aulas das disciplinas de clínica da Faculdade de Odontologia de Piracicaba.
05/02/2018,05/02/2018,Período Letivo,Início das aulas das disciplinas de estágio do Curso de Fonoaudiologia.
07/02/2018,07/02/2018,b'Relat\xc3\xb3rios de Matr\xc3\xadcula e de Integraliza\xc3\xa7\xc3\xa3o Curricular',b'DAC divulga na WEB relat\xc3\xb3rios de matr\xc3\xadcula e de integraliza\xc3\xa7\xc3\xa3o curricular do 1\xc2\xb0 per\xc3\xadodo letivo de 2018.'
07/02/2018,07/02/2018,relatorios de matricula e de integralizacao curricular,DAC divulga na WEB relatórios de matrícula e de integralização curricular do 1° período letivo de 2018.
