Data;Frase do usuário;Intenção;Confiabilidade;Status;Nova Intenção
2018-11-21 21:45:27 +00:00;o que sao eletorias?;Eletivas;79.48%;Não analisado;
2018-11-21 21:45:17 +00:00;to com umas tretas com meu passe escolar;Passe Escolar;76.89%;Não analisado;
2018-11-21 21:44:59 +00:00;como funciona o aproveitamento de estudos?;Aproveitamento de Estudos;90.74%;Não analisado;
2018-11-21 21:44:45 +00:00;sou aluno especial e quero mais infos;Aluno Especial;95.48%;Não analisado;
2018-11-21 21:44:28 +00:00;como faco para abonar minhas faltas?;Abono de Falta;94.62%;Não analisado;
2018-11-21 21:44:11 +00:00;como funciona o trancamento de matricula?;Trancamento de Matrícula;91.85%;Não analisado;
2018-11-21 21:43:51 +00:00;to sem grana e preciso de uma bolsa de estudos, me ajuda;Bolsas;93.21%;Não analisado;
2018-11-21 21:43:29 +00:00;fui jubilado o que fazer?;Cancelamento de Matrícula;94.33%;Não analisado;
2018-11-21 21:43:12 +00:00;onde encontro o site para acompanhar protocolo?;Acompanhar Protocolo;84.95%;Não analisado;
2018-11-21 21:41:08 +00:00;perdi meu ra como prosseguir?;Cartão Universitário;70.14%;Não analisado;
2018-11-21 21:40:50 +00:00;perdi meu ra, como prosseguir?;Cartão Universitário;57.94%;Não analisado;
2018-11-21 21:40:22 +00:00;fui jubilado, o que fazer?;Cancelamento de Matrícula;94.83%;Não analisado;
2018-11-21 21:40:08 +00:00;to sem grana e preciso de uma bolsa de estudos, me ajuda;Bolsas;93.21%;Não analisado;
2018-11-21 21:39:47 +00:00;como funciona o aproveitamento de estudos?;Aproveitamento de Estudos;90.74%;Não analisado;
2018-11-21 21:39:33 +00:00;perdi minha senha, me ajuda daquinho;Alteração de Senha;92.18%;Não analisado;
2018-11-21 21:39:18 +00:00;sou aluno especial, me ajuda daquinho?;Aluno Especial;94.09%;Não analisado;
2018-11-21 21:38:51 +00:00;onde e a minha sala de aula agora?;Alocação de Salas;94.00%;Não analisado;
2018-11-21 21:38:38 +00:00;onde encontro o site para acompanhar protocolo?;Acompanhar Protocolo;84.95%;Não analisado;
2018-11-21 21:38:12 +00:00;como faco para abonar minhas faltas?;Abono de Falta;94.62%;Não analisado;
2018-11-21 21:33:46 +00:00;perdi minah senha, me ajuda daquinho?;Alteração de Senha;45.90%;Não analisado;
2018-11-21 21:33:29 +00:00;sou aluno especial e quero mais infos;Aluno Especial;95.48%;Não analisado;
2018-11-21 21:33:05 +00:00;onde e minha sala de aula agora?;Alocação de Salas;91.19%;Não analisado;
2018-11-21 21:32:49 +00:00;onde encontro o site para acompanhar protocolo?;Acompanhar Protocolo;84.95%;Não analisado;
2018-11-21 21:32:28 +00:00;como faco para abonar minhas faltas?;Abono de Falta;94.62%;Não analisado;
2018-11-21 13:30:49 +00:00;matricula em disciplinas;Alteração de Matrícula;75.83%;Não analisado;
2018-11-21 13:30:38 +00:00;ferias de verao;Código de Disciplina;2.42%;Não analisado;
2018-11-21 13:27:32 +00:00;calendario;Calendário;99.56%;Não analisado;
2018-11-21 13:27:25 +00:00;disciplinas de ferias;Desistência em Disciplina;8.75%;Não analisado;
2018-11-21 13:27:10 +00:00;inscricao disciplinas de ferias;Calendário;5.94%;Não analisado;
2018-11-21 01:23:51 +00:00;bolsa de estudos;Bolsas;98.61%;Não analisado;
2018-11-21 01:23:42 +00:00;iniciacao cientifica;Código de Disciplina;8.84%;Não analisado;
