sep=,
Abono de Falta,perdi muitas aulas, posso abonar?
Abono de Falta,Faltei na aula. Tenho um atestado
Abono de Falta,excedi o numero de faltas, tem como abonar?
Abono de Falta,excedi o limite de faltas
Abono de Falta,tenho atestado médico, posso abonar faltas?
Abono de Falta,Faltei demais, tem como abonar?
Abono de Falta,como funciona o abono de falta
Abono de Falta,preciso de atestado medico para abono de faltas?
Abono de Falta,precisei faltar porque fiquei doente e tenho atestado médico, consigo abonar?
Abono de Falta,passei do limite de numero de faltas mas estava doente
Abono de Falta,faltei muitas aulas, posso abonar?
Abono de Falta,nao terei 75% de presença na materia
Abono de Falta,perdi aula pq fui no cecom
Abono de Falta,o que fazer para abonar as faltas?
Abono de Falta,faltei como abonar
Abono de Falta,vou reprovar por falta
Abono de Falta,fui ao medico no dia da prova
Abono de Falta,perdi muitas aulas
Abono de Falta,tenho atestado medico
Abono de Falta,perdi prova pq eu estava doente
Abono de Falta,como pedir abono de faltas?
Abono de Falta,é possível abonar as faltas?
Abono de Falta,acho que não tenho 75% de presença
Abono de Falta,estou perto dos 75% de presenca
Acompanhar Protocolo,poderia me passar o link de andamento do protocolo?
Acompanhar Protocolo,tenho o código de protocolo da dac
Acompanhar Protocolo,verificar emissão de protocolo
Acompanhar Protocolo,como faço para consultar o andamento do meu protocolo de atendimento?
Acompanhar Protocolo,meu protocolo está concluído?
Acompanhar Protocolo,ver minha solicitação pelo protocolo
Acompanhar Protocolo,consultar protocolo
Acompanhar Protocolo,como sei se o meu protocolo foi concluído?
Acompanhar Protocolo,quero olhar se meu protocolo foi concluído
Acompanhar Protocolo,verificar status do meu protocolo
Acompanhar Protocolo,qual o link para eu consultar a situação do meu protocolo?
Acompanhar Protocolo,ver situação do protocolo
Acompanhar Protocolo,onde posso ver meu protoolo de atendimento?
Acompanhar Protocolo,queria consultar meu protocolo
Acompanhar Protocolo,como faco para acompanhar se meu protocolo esta concluido?
Acompanhar Protocolo,ver protocolos da dac
Acompanhar Protocolo,Como ver se meu protocolo está pronto?
Acompanhar Protocolo,acompanhar protocolo
Acompanhar Protocolo,quero acompanhar a situação da minha solicitação
Acompanhar Protocolo,seção de protocolos dac
Acompanhar Protocolo,tenho o numero do protocolo e quero ver
Acompanhar Protocolo,numero do protocolo
Agendamento de Atendimento,gostaria de ser atendido por uma pessoa da DAC
Agendamento de Atendimento,queria agendar um atendimento na dac
Agendamento de Atendimento,quero ser atendido por uma pessoa
Agendamento de Atendimento,preciso de atendimento presencial
Agendamento de Atendimento,vou passar lá na dac sem ter agendado
Agendamento de Atendimento,é possível fazer agendamento de atendimento?
Agendamento de Atendimento,voce nao entende preciso de um atendente
Agendamento de Atendimento,marcar hora para comparecer na DAC
Agendamento de Atendimento,o chat não me ajudou, preciso de ajuda de uma pessoa
Agendamento de Atendimento,queria marcar um atendimento presencial na DAC?
